respondant_num,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Satisf,DM2,DM11
1,1,4,0,12,3096,646000,1,0,500000,1,200000,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,3,4
2,1,4,0,14,912,64000,0,1,200000,1,200000,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,3,4
3,4,1,0,24,80,200,1,1,300000,0,800000,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,6,4
4,3,2,0,22,114,38080,1,0,300000,1,300000,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,5,4
5,2,1,2,17,66,7400,1,1,200000,0,300000,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,2,4
6,2,2,1,15,674,112000,1,0,100000,0,300000,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,4
7,4,1,0,20,122,10100,1,1,100000,1,100000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,4
8,2,0,3,17,123,12000,1,0,300000,1,300000,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,2,4
9,4,1,0,15,100,6000,1,1,10000,1,20000,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,7,7
10,2,1,2,18,264,4000,1,0,500000,1,500000,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,7,7
11,0,1,4,21,132,8000,1,1,100000,0,200000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,4,7
12,2,3,0,21,114,0,1,1,20000,1,100000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,7,7
13,2,1,2,12,132,10000,1,0,100000,0,200000,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,5,7
14,2,2,1,20,78,8000,1,1,100000,1,100000,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,3,15
15,0,3,2,18,126,36000,1,1,5000,1,200000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,5,7
16,3,0,2,18,96,0,1,0,50000,1,100000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,6,7
17,3,2,0,20,168,4000,1,0,20000,1,100000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,6,7
18,2,1,2,17,156,9400,1,0,30000,0,10000,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,6,7
19,4,0,1,19,108,2280,1,0,20000,1,50000,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,7,1
20,3,0,2,22,54,10200,1,0,100000,1,100000,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,6,1
21,0,4,1,25,114,0,0,0,40000,1,50000,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,3,1
22,2,1,2,22,72,2000,1,0,20000,0,200000,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,4,1
23,2,1,2,21,162,12100,1,0,100000,1,200000,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,6,1
24,1,0,4,19,170,30600,1,0,700000,1,400000,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1
25,2,0,3,15,192,18600,1,1,200000,1,250000,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,1
26,1,2,2,19,128,9000,1,0,100000,1,100000,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,5,1
27,2,0,3,17,88,8000,1,0,300000,0,400000,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,2,10
28,4,1,0,23,169,0,1,1,20000,1,500000,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,3,9
29,1,1,3,13,144,29000,1,1,100000,0,500000,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,4,4
30,3,1,1,19,74,10200,1,1,10000,1,10000,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,5,9
31,1,3,1,21,98,10000,1,1,150000,1,30000,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,4,9
32,3,1,1,21,82,6000,1,1,300000,0,500000,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,10
33,1,2,2,16,168,32200,1,1,200000,1,200000,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,3,9
34,1,3,1,14,102,8400,1,1,200000,1,250000,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,4,15
35,1,4,0,20,108,30000,1,1,100000,1,200000,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,4,15
