Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
1,4,0,144,3.490800952,5.810232518,1,0,5.698970004,1,5.301029996,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
1,4,0,196,2.959994838,4.806179974,0,1,5.301029996,1,5.301029996,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
4,1,0,576,1.903089987,2.301029996,1,1,5.477121255,0,5.903089987,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1
3,2,0,484,2.056904851,4.58069694,1,0,5.477121255,1,5.477121255,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
2,1,2,289,1.819543936,3.86923172,1,1,5.301029996,0,5.477121255,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
2,2,1,225,2.828659897,5.049218023,1,0,5,0,5.477121255,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
4,1,0,400,2.086359831,4.004321374,1,1,5,1,5,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
2,0,3,289,2.089905111,4.079181246,1,0,5.477121255,1,5.477121255,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
4,1,0,225,2,3.77815125,1,1,4,1,4.301029996,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1
2,1,2,324,2.421603927,3.602059991,1,0,5.698970004,1,5.698970004,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
0,1,4,441,2.120573931,3.903089987,1,1,5,0,5.301029996,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0
2,3,0,441,2.056904851,0.301029996,1,1,4.301029996,1,5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1
2,1,2,144,2.120573931,4,1,0,5,0,5.301029996,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0
2,2,1,400,1.892094603,3.903089987,1,1,5,1,5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
0,3,2,324,2.100370545,4.556302501,1,1,3.698970004,1,5.301029996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
3,0,2,324,1.982271233,0.301029996,1,0,4.698970004,1,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1
3,2,0,400,2.225309282,3.602059991,1,0,4.301029996,1,5,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1
2,1,2,289,2.193124598,3.973127854,1,0,4.477121255,0,4,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1
4,0,1,361,2.033423755,3.357934847,1,0,4.301029996,1,4.698970004,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1
3,0,2,484,1.73239376,4.008600172,1,0,5,1,5,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
0,4,1,625,2.056904851,0.301029996,0,0,4.602059991,1,4.698970004,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1
2,1,2,484,1.857332496,3.301029996,1,0,4.301029996,0,5.301029996,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
2,1,2,441,2.209515015,4.08278537,1,0,5,1,5.301029996,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
1,0,4,361,2.230448921,4.485721426,1,0,5.84509804,1,5.602059991,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
2,0,3,225,2.283301229,4.269512944,1,1,5.301029996,1,5.397940009,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
1,2,2,361,2.10720997,3.954242509,1,0,5,1,5,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0
2,0,3,289,1.944482672,3.903089987,1,0,5.477121255,0,5.602059991,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1
4,1,0,529,2.227886705,0.301029996,1,1,4.301029996,1,5.698970004,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
1,1,3,169,2.158362492,4.462397998,1,1,5,0,5.698970004,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
3,1,1,361,1.86923172,4.008600172,1,1,4,1,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
1,3,1,441,1.991226076,4,1,1,5.176091259,1,4.477121255,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0
3,1,1,441,1.913813852,3.77815125,1,1,5.477121255,0,5.698970004,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
1,2,2,256,2.225309282,4.507855872,1,1,5.301029996,1,5.301029996,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
1,3,1,196,2.008600172,3.924279286,1,1,5.301029996,1,5.397940009,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
1,4,0,400,2.033423755,4.477121255,1,1,5,1,5.301029996,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
3,0,2,324,1.857332496,4.283301229,1,0,5,1,5,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0
1,3,1,400,2.056904851,4.079181246,1,0,5.176091259,1,5.176091259,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
3,0,2,361,2.158362492,3.812913357,1,1,3.698970004,1,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1
3,1,1,400,2.120573931,4.328379603,1,1,5.301029996,1,5.301029996,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
2,2,1,121,2.100370545,4.079181246,1,0,4,0,5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
2,1,2,361,2.033423755,4,1,0,5,0,4.301029996,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
2,1,2,441,1.608526034,3.698970004,1,0,0.301029996,0,4.698970004,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0
2,0,3,441,1.819543936,3.477121255,1,0,4,1,4,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1
2,3,0,324,2.225309282,3.62324929,1,1,4.698970004,1,5.477121255,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
2,1,2,400,1.924279286,4.668385917,1,0,4.477121255,1,4.698970004,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
1,1,3,324,1.832508913,4.100370545,1,0,3.903089987,0,4.477121255,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1
2,3,0,400,2.079181246,3.447158031,1,1,5.176091259,1,5.301029996,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0
1,0,4,361,2.225309282,4.383815366,1,1,5.301029996,1,5.477121255,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1
3,1,1,400,2.056904851,3.334453751,1,0,4.698970004,1,5,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1
2,1,2,289,2.193124598,3.84509804,1,1,5.477121255,0,5.602059991,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
0,5,0,361,2.093421685,3.079181246,1,0,5,1,4.477121255,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1
1,4,0,144,2.120573931,4.146128036,1,0,4.698970004,1,4.84509804,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1
3,2,0,289,1.612783857,4.079181246,1,1,5,1,5,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1
2,2,1,324,1.77815125,0.301029996,1,0,5.477121255,1,5.477121255,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1
3,2,0,289,1.806179974,4,0,0,4.477121255,1,4.698970004,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0
1,3,1,225,2.158362492,4.204119983,1,1,4.301029996,1,4.301029996,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1
1,2,2,169,2.041392685,4.414973348,1,0,5.113943352,1,5.176091259,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0
1,2,2,400,1.77815125,3.477121255,1,1,5,1,5.301029996,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
1,2,2,256,2.033423755,4.44870632,0,0,5.602059991,1,5.602059991,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
2,2,1,256,2.176091259,4.10720997,1,1,5,1,4.84509804,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1
