Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Satisf
-1.000099176,2.232021841,-1.251384397,-1.919572846,6.783539104,2.083602693,1,0,1.478228245,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
-1.000099176,2.232021841,-1.251384397,-1.471681135,4.297095041,1.076820449,0,1,0.68149597,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
1.378199865,-0.282345639,-1.251384397,1.801373683,-0.653742415,-1.435140236,1,1,1.034055619,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1
0.585433518,0.555776854,-1.251384397,1.008949885,0.06676936,0.850724398,1,0,1.034055619,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
-0.207332829,-0.282345639,0.540888814,-0.670644035,-1.045095447,0.13732493,1,1,0.68149597,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0
-0.207332829,0.555776854,-0.355247792,-1.221895372,3.681885503,1.320519241,1,0,0.078791269,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
1.378199865,-0.282345639,-1.251384397,0.285432504,0.204744712,0.27278185,1,1,0.078791269,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0
-0.207332829,-1.120468133,1.43702542,-0.670644035,0.221351793,0.347845242,1,0,1.034055619,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
1.378199865,-0.282345639,-1.251384397,-1.221895372,-0.199788852,0.045996841,1,1,-1.923350409,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1
-0.207332829,-0.282345639,0.540888814,-0.369178459,1.775121672,-0.130573154,1,0,1.478228245,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
-1.792865522,-0.282345639,2.333162026,0.638577892,0.36501311,0.171275247,1,1,0.078791269,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0
-0.207332829,1.393899348,-1.251384397,0.638577892,0.06676936,-3.440577601,1,1,-1.320645707,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1
-0.207332829,-0.282345639,0.540888814,-1.919572846,0.36501311,0.268448728,1,0,0.078791269,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0
-0.207332829,0.555776854,-0.355247792,0.285432504,-0.705247864,0.171275247,1,1,0.078791269,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1
-1.792865522,1.393899348,0.540888814,-0.369178459,0.270374808,0.826263639,1,1,-2.52605511,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
0.585433518,-1.120468133,0.540888814,-0.369178459,-0.282835347,-3.440577601,1,0,-0.523913432,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1
0.585433518,0.555776854,-1.251384397,0.285432504,0.855622741,-0.130573154,1,0,-1.320645707,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1
-0.207332829,-0.282345639,0.540888814,-0.670644035,0.704860694,0.241503525,1,0,-0.968086059,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1
1.378199865,-1.120468133,-0.355247792,-0.05048628,-0.04322265,-0.375361997,1,0,-1.320645707,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1
0.585433518,-1.120468133,0.540888814,1.008949885,-1.453331208,0.277072281,1,0,0.078791269,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1
-1.792865522,2.232021841,-0.355247792,2.223425488,0.06676936,-3.440577601,0,0,-0.717941008,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1
-0.207332829,-0.282345639,0.540888814,1.008949885,-0.86808328,-0.432421554,1,0,-1.320645707,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1
-0.207332829,-0.282345639,0.540888814,0.638577892,0.781637984,0.351459165,1,0,0.078791269,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0
-1.000099176,-1.120468133,2.333162026,-0.05048628,0.879698245,0.755490676,1,0,1.770797277,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
-0.207332829,-1.120468133,1.43702542,-1.221895372,1.127273215,0.538694392,1,1,0.68149597,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
-1.000099176,0.555776854,0.540888814,-0.05048628,0.302412585,0.222566837,1,0,0.078791269,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0
-0.207332829,-1.120468133,1.43702542,-0.670644035,-0.459847519,0.171275247,1,0,1.034055619,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1
1.378199865,-0.282345639,-1.251384397,1.396548481,0.86769611,-3.440577601,1,1,-1.320645707,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1
-1.000099176,-0.282345639,1.43702542,-1.704240293,0.542025282,0.732103839,1,1,0.078791269,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
0.585433518,-0.282345639,-0.355247792,-0.05048628,-0.812343992,0.277072281,1,1,-1.923350409,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1
-1.000099176,1.393899348,-0.355247792,0.638577892,-0.240888362,0.268448728,1,1,0.431350918,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0
0.585433518,-0.282345639,-0.355247792,0.638577892,-0.603508836,0.045996841,1,1,1.034055619,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
-1.000099176,0.555776854,0.540888814,-0.954883006,0.855622741,0.777685299,1,1,0.68149597,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
-1.000099176,1.393899348,-0.355247792,-1.471681135,-0.159503245,0.192522153,1,1,0.68149597,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
-1.000099176,2.232021841,-1.251384397,0.285432504,-0.04322265,0.746867124,1,1,0.078791269,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
0.585433518,-1.120468133,0.540888814,-0.369178459,-0.86808328,0.552520163,1,0,0.078791269,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0
-1.000099176,1.393899348,-0.355247792,0.285432504,0.06676936,0.347845242,1,0,0.431350918,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0
0.585433518,-1.120468133,0.540888814,-0.05048628,0.542025282,0.080853456,1,1,-2.52605511,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1
0.585433518,-0.282345639,-0.355247792,0.285432504,0.36501311,0.597721091,1,1,0.68149597,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1
-0.207332829,0.555776854,-0.355247792,-2.117678796,0.270374808,0.347845242,1,0,-1.923350409,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0
