지역,loc,score,review
강원,오죽헌,50,정해진 시간마다 해설해주시는 분이 계셔서 따라다니면서 설명들으면서 보는게 훨씬 유익하고 재밌어요 아이들이랑 같이 가도 너무 좋을것 같고 모르던 것도 알기 쉽게 설명해주셔서 최고였어요
강원,오죽헌,50,율곡이이의 생가인 이곳은 목조 건물에 기와를 얹은 한옥과 쭉 뻗은 소나무가 장관을 이루는 곳이다. 역사를 모르더라도 풍경이 정말 멋져서 그 자체만으로도 좋은 곳이다.
강원,오죽헌,40,조선시대 가장 오래된 목조 가옥 중 하나이다. 박물관과 5000원권 화폐와 비교하여 사진 찍기 등 생각보다 볼게 많을 수 있다. 주변 한옥펜션이나 선교장 경포대 등과 연계하여 관광하기 좋은 위치에 있다
강원,오죽헌,50,세계 최초 화폐 모자모델 신사임당과 율곡이이 가 태어난곳. 조용하고 경치가 이주 좋은 곳 입니다. 가족들과 방문하기 좋으며 장애우분들을 위한 휠체어 대여가능하며 한복체험도 할 수 있습니다
강원,오죽헌,30,고택의 매력을 느낄 수 있습니다. 넓긴하나 소박함이 있는 고택입니다. 추사 김정희 선생님의 필체도 볼 수 있었습니다. 강릉 가면 한번쯤 가볼만한 곳 입니다.
강원,오죽헌,40,"율곡 이이, 신사임당 두 분의 출신지로 유명한 오죽헌  내부가 이쁘고 깔끔하게 잘 정리되어 꾸며져 있음  길도 편평하여 아이들과도 둘러보기 좋음  다만 너무 더울때 방문하면 힘들수 있음"
강원,오죽헌,50,"화려하지는 않고, 볼거리가 풍부하진 않은 곳입니다. 하지만 옛 이야기를 읽는 즐거움은 넉넉하게 준비되어 있습니다. 강릉에 오면 꼭 한번쯤은 들려보세요."
강원,오죽헌,50,신사임당과 율곡이이가 기거했던 곳으로 꽤 넓고 볼게 있어 입장료가 아깝지 않은 곳입니다. 가족단위로 방문할만한 곳이며 무료주차 가능합니다.
강원,오죽헌,30,오죽헌이 생각보다 많이 변했습니다. 많이 세련되어졌다고 해야할까요?아이들과 한번쯤은 방문할만하지만 그 이상은 아닌것 같습니다. 입구에 연예인들의 손도장이 참 그렇더군요.
강원,오죽헌,50,처음방문보다 여러번 방문할수록 진가가 발휘되네요 해설사의 해설과 함께 투어하는것을 추천 합니다 설명과 함께하니 구석구석 알게되네요
강원,오죽헌,40,오죽헌은 신사임당이 태어나고 그의 아들인 율곡 이이가 태어난 곳으로 강릉을 대표하는 관광지이자 볼거리가 아닐까 합니다. 규모가 생각보다 넓고 잘 꾸며놨습니다. 원래는 후손들이 대대로 관리를 해왔다고 하는데 지금은 오죽헌 사업으로 기념관이 생기고 체계적으로 관리가 되는 듯했습니다. 화장실도 잘 갖추어져 있더라고요. 겨울이라 그런지 한산해서 더 좋았네요.
강원,오죽헌,40,"강릉 유명한 곳을 검색하면 나오는 곳 중 한곳이라 시간내서 가봤습니다. 비용이 성인 한명 3000원이라 큰 비용은 들지 않고 주차비도 없습니다. 다만, 주차공간이 매우 협소해서 주차하기가 너무 힘듭니다... 그것만 아니라면 내부에 볼만한 곳과 공연을 시간대 별로 하고 있어 방문해볼만 합니다!"
