지역,loc,score,review
경북,안압지,50,코로나19로 인해 방문객이 뜸했던 안압지에 다시 사람들이 모여들고 있네요. 야경이 아주 예쁜 곳이여서 경주여행 시 추천해요. 마스크 단단히 착용하고!!
경북,안압지,50,동궁과 월지라는 이름으로 바뀐 안압지는 경주의 새로운 획을 긋고 있습니다. 야경도 좋고 소리도 좋고 다 좋은데 문제는 사람이 너무 많고 모기가 너무 많다는 것입니다. 모기가 번식하기 아주 좋은 환경이기 때문에 모기의 집중 서식지라고 할 수 있을 정도로 모기가 많았습니다. 그래서 아내와 함께 실컷 뜯기고 왔습니다.
경북,안압지,50,"어드바이저에서 이곳 명칭을 변경하셔야겠어요. 어제 가서 해설사님에게 문의해보니 2014년부터 신라 유적지의 원래 명칭인 동궁과 월지 로 불린답니다. 안압지는 조선시대때 이곳이 뭐하는곳인지 모르고 기러기와 오리가 노는 연못이라고 불린 것에서 유래된것이라네요. 신라가 삼국을 통일한후, 궁궐을 넓히면서 지은 동궁이자 귀족유원지의 역할을 사던 월지 가 합쳐져서 동궁과 월지라고 불린다합니다. 여튼 사진 촬영명소에요. 야경이 참 예뻐요. 약간 추웠는데도 안 가보면 후회할것같아서 갔어요. 2011년, 2016년 그리고 올해 이렇게 세번 야경관람을 했는데, 시간은흘렀지만 아름다움은 여전하더라구요. 중앙쯤에 있는 유물 전시장도 좋았어요. 특히 귀면기와가 멋있었어요. 데이트나 아이들 공부하러라도 여기 한번쯤 와보는것을 추천합니다."
경북,안압지,40,낮에는 사람이 많이 없습니다. 그리고 밤에는 사람이 좀 있고 밤에 상당히 예쁩니다. 밤에 시간을 내서 방문하는 것을 추천합니다.
경북,안압지,40,연인과 함께라면 밤에가세요. 날씨 좋으면 넓어서 아이들 뛰어 놀기 좋아요. 저는 경주시민인데 밤이 더 좋아요. 운치있습니다
경북,안압지,40,꼭보아야할. 명소임에. 분명 낮과는. 다른. 매력이 넘치는장소이나. 한가지흠이라면. 직원퇴근시간에 임박할수록. 소가된. 느낌? 10시가 가까워지면. 강제. 소몰이를한다
경북,안압지,50,경주에 오면 꼭 들러야 하는 안압지 야경이 너무 예쁜 곳인데 저녁에는 좀 쌀쌀해요 따뜻하게 입고 둘러보기 너무 좋은 곳이에요
경북,안압지,50,경주 야경의 끝판왕이라 봐도 될만큼 우리전통의 멋스러움을 한껏 느낄 수 있는 곳입니다. 낮에 봐도 좋지만 야경이 아주 끝내주고 산책하기 좋은곳이에요.
경북,안압지,40,목요일 저녁에 갔는데 사람이 너무 많아서 거의 줄 서서 이동한 정도예요. 그래도 밤에 보는 안압지는 참 예쁘네요. 캐리어 끌고 이동했는데 사무실에 맡길 수 있어서 좋았어요.
경북,안압지,50,경주가면 꼭 가야하는 곳 야경이 엄청 이뻐요. 사람이 엄청 많아요~~ 주자창이 넓기는 하지만 근처 다른 곳에서 주차하고 걸어서 가는게 좋을 거 같아요
