지역,loc,score,review
서울,경복궁,50,날씨 좋은 날 종종 산책하러 경복궁에 가는데 마음이 편온해지는 기분이라고 할까요? 특히 봄이나 가을에 산책가는 걸 추천해요!
서울,경복궁,50,Goooooood 다 좋습니다 다음에 또 오고 싶네요 근처 관광지도많고 먹을거리도많네요 서울올때마다 자주이용중인데 또오고싶습니다
서울,경복궁,50,요새 더더욱 코로나로 인해 사람 방문이 적음. 두자녀 동반시 성인 입장무료. 지금 시기에 나들이 하기 딱 좋은곳. 지하철 광화문역이나 종각역이용 편리.
서울,경복궁,50,"조선 개국 4년째인 1395년에 처음으로 세운 으뜸 궁궐이다.  '하늘이 내린 큰 복' 이라는 뜻으로 경복궁이라 이름지었다.  가장 아름답고 웅장한 이 경복궁은 임진왜란, 일제강점기 2번에 걸쳐  일본의 악랄하고 잔인한 파괴를 당한 악연을 갖고있다.  향원정은 보수 공사로 인해 볼 수 없지만  아름다운 경회루만으로도 충분한 경복궁이다."
서울,경복궁,50,"한국 건축물의 아름다움을 느낄 수 있는 곳이고, 한복을 입었을 때 입장료는 무료. 주변에 한복 대여점이 많으니 한번쯤 대여해서 입어보는것도 나쁘지 않을듯"
서울,경복궁,50,"조선의 성곽 안에는 박물관도 있고 경회루 등 볼것이 많다.  외국인들 및 연인들도 주변에서 한복 및 특수복장 빌려서 성을 둘러보며 데이트를 즐기기에 딱 좋다. 야간개장도 하니 잘 알아보고 올것  한국사람이라면 한번이상은 꼭와봤고 , 외국인들에게도 좋은 관광지라고 생각한다. 앞에 광화문 광장 청계천 뒤로 삼청동 이주변에 연계된 명소들도 많기 때문에 꼭 추천한다."
서울,경복궁,40,대부분의 사람들이 여행을 간다면 그 나라의 유서 깊은 궁전을 찾게 된다. 한국에서는 그 곳이 바로 경복궁이다. 지금의 경복궁은 원래의 것보다 많이 축소되었지만 그래도 깨끗이 잘 정돈되어 있으며 위엄이 있다.
서울,경복궁,50,몇번을 가도 감탄하게 되며 산책하기 최고인 경복궁 매번 갈때마다 정교함과 운치에 또한번 반하게 되는곳 주변에 볼거리도 많음
서울,경복궁,50,구정전날 방문했는데 관광객이 참 많았습니다 무료입장이었고 한복입은 관광객이 많더군요 때맞춰 가면 광화문에서 수문장 교대식을 볼 수 있습니다
서울,경복궁,50,넓고 아름다운 우리나라 궁궐 건축물도 보면서 역사공부도 할 수 있는곳이에요. 외국인들이 한국인보다 많았고 너무추워서 모두 보지못한것은 아쉬웠어요. 가족여행이면 가족관계증명서를 꼭 챙기세요. 한복 입지않고도 무료관람 가능해요.
서울,경복궁,50,친구랑 다녀왔는데 엄청 넓어요. 공사중인 곳 있어서 조금 아쉬워서 날씨 따뜻해지면 또 가려구요~ 박물관(?)에도 우리 옛것 전시되어 있어서 볼거리 풍부하고 역사공부 하는 것 같아 좋았어요!
서울,경복궁,50,도심 한 가운데서 만날 수 있는 조선왕조의 궁궐로 소란스러운 가운데 조용함을 느낄 수 있는 공간으로 한복을 입고 방문하여 기념사진을 찍기 좋음.
서울,경복궁,50,조선 최고의 궁궐입니다. 너무 좋구요 야경은 두 말 할 것도 없이 완전히 좋습니다. 죽기 전에 한 번쯤은 가 볼만한 곳 입니다. 강추드립니다!!!!!!!
서울,경복궁,50,"몇 번의 도전 끝에 야간 개장 신청에 성공해서 다녀왔어요! 내부에서 공연도 해서 즐길 수 있고, 무엇보다 경회루가 너무 예뻐서 계속 보고 있었어요!"
서울,경복궁,40,제가 참 좋아하는 곳인데... 친구 오면 꼭 같이 가는데 향원정이 아직도 공사중이더군요. 제가 젤 좋아하는데라... 아쉬웠어요... 입장료가 4000원인데 한복 대여료가 3900원이라 많은 외국인들이 한복을 대여하더라구요. 한복입으면 공짜 입장이거든요. 그런데... 대여 한복들이... 한복 같지 않아서 같이 간 외국 친구가 비웃을 정도 였어요... 건 좀 별로 였어요.
서울,경복궁,50,가을의 정취가 담뿍담긴 비원에서 한국의 아름다움을 소개할 수 있었습니다. 영어로 안내가 되어있어서 많은 외국인들과 함께 비원을 산책했어요. 경복궁안에 커피셥도 분위기가 좋아요.
서울,경복궁,40,날씨도 좋았고 사람도 많지 않았습니다 ... 너무 너무 좋은 관광 휴가이었습니다 . 또 다시 가고 싶은 곳으로 리스트에 올려야겠습니다
서울,경복궁,50,뀨ㅣ딧ㅇ그의딛ㄱ짖ㅇ늬ㄴㅌ싱브ㅢ싲ㄴ조싱그ㅡ싲ㄴ졳ㅡ응ㄷ지ㆍㅇㆍ읻은ㅇㄴ딪동ㄴㄱ지ㅡㅇ릦ㄱ시ㅡㅅㄷㅇㄷㄱㅈㄴ
서울,경복궁,50,"도심 한가운데 위치하고 있지만, 내부로 들어서면 전혀 다른세상에 온것같음. 관광객이 많은 편이지만 그래도 한국 고유의 아름다움을 느끼기에 충분한 궁궐. 담벼락 너머로는 현대식 빌딩이 넘쳐나지만 소음은 완벽히 차단됨."
서울,경복궁,50,수천년의 역사를 가진 대한민국의 최고 명소입니다. 외국인이 아닌 한국인이라 하더라도 한번쯤은 무조건 가보기를 권장합니다.
서울,경복궁,50,저는 이 경험을 강력히 추천합니다. 한복을 무료로 입으실 수도 있습니다. 궁전과 경치가 아름답습니다. 이곳은 사진을 찍기에 좋은 장소입니다.
서울,경복궁,50,"경복궁을 방문한다면 가을을 추천합니다 너무 이쁜 가을의 하늘,단풍으로 물든 나무들과 옛 궁의 건물의 조화가 너무 아름답습니다. 서울 한복판에 이렇게 아름다운 옛 건물의 조화가 특이하기도 하거니와 갑자기 새소리와 고요한 느낌을 받을수 있어 무엇보다 좋아요~~~"
서울,경복궁,50,"아이들과 함께 오랜만에 경복궁을 다녀왔읍니다. 관광코스라 그런지 한국인, 외국인 반반이네요. 광화문에서 바라보는 모습은 고색창연하네요"
서울,경복궁,50,한국 여행 필수 코스 아닐까 싶네요. 입장료가 저렴하고 내부도 넓어서 날씨 좋은날 산책하기에도 좋습니다. 야간개장도 해요~!!
서울,경복궁,50,서울의 한 가운데 자리한 궁궐 야경이 더욱 아름다우니 기회가 된다면 야간개장 때 방문해 보세요. 낮에도 물론 아름다운 곳 입니다.
서울,경복궁,50,궁 데이트를 자주 하는 편인데 경복궁은 정말 행사도 다양하고 너무좋아요ㅎㅎㅎ 특히 야간관람 가능할때는 꼭 가보세요ㅎㅎ
서울,경복궁,50,"오래된 궁궐들이 많이 있으며, 관광객들이 많이 방문하는 장소이다. 근처 상점에서 한복을 대여해주는데 그럴경우 입장료가 무료이다. 항상 활기차며 많은 관광객들이 있다. 그늘이 부족하므로 모자나 음료를 챙기는 것이 좋다."
서울,경복궁,50,조선시대를 대표하는 대표적인 궁궐로 외국인들이 찾는 관광명소 중 하나이다. 한복을 입고 입장하면 입장료가 무료이며 주변에 한복 대여를 하는 가게들이 많으니 입어보는 것을 추천한다. 생각보다 면적이 꽤 넓으며 경복궁 전체를 둘러보려면 반나절은 잡는 것을 추천한다. 전체를 보려면 많이 걸어야하니 어린아이가 있는 여행객은 유모차를 준비하는 것을 추천한다.
서울,경복궁,50,"영어 해설사 투어로 1시간 투어했어요. 프랑스, 브라질에서 오신 외국 손님들이 정말 좋아했습니다. 평일인데도 관광객이 많네요. 경회루는 사람들이 한쪽에만 몰려 있으니 연못 따라 조금만 더 걸어가면 사진 찍기 적당하게 트여 있어요."
서울,경복궁,50,이젠 경복궁은 한복 필수예요 ㅋㅋㅋㅋ 거닐때 기분이 다름 ㅋㅋㅋㅋㅋ 가을 야간개장때는 달빛과 함께 보는 궁 안이 얼마나 예쁜지...❤️❤️
서울,경복궁,50,야간 개장으로 저녁 7시 입장하였습니다. 인터넷으로 사전 예매하고 신분증과 예매번호로 티켓을 발권 받습니다.  몇년 전부터 유명(?) 했던 야간 개장이라... 사전 예매를 통해서만 가능해 매우 가보고 싶은 곳이였습니다.  조명을 받은 경회루와 근정전은 매우 아름다웠으며.... 8시부터 진행된 국악공연은 가을밤과 매우 잘 어울렸습니다.  외국의 여타 관광지(문화재)의 야간개장 - 공연과 견주어도 뒤지지 않는 모습이었습니다.  경복궁 야간 개장은 늘있는 것은 아닌듯합니다.... 연중 특정일 만이 아닌 상시 개방을 바래봅니다.
서울,경복궁,50,현대의 도시안에 과거의 유산. 새로움과 전통을 느끼기 좋은곳. 한국의 미를 느낄수있는곳. 의무감으로라도 한번은 가야할 곳 아닌가싶네요.
서울,경복궁,50,한복입고 들어가면 입장료 무료. 외국분들 뿐만아니라 한국분들도 꼭 한번쯤은 가봐야 할 곳이라 생각해요! 전 몇번이나 와봤지만 올때마다 너무 좋네요 ㅎㅎ 경회루는 미리 사전예약을 해야지만 경회루에 올라갈 수 있고 설명도 들을 수 있으니 참고하세요!
서울,경복궁,50,"무슨 말을 더 할 필요가 있나요? 한국인이라면 꼭 한번 들러야하고, 외국인들도 한국의 모습을 보기위해 꼭 한번 들러야할 서울오면 필수코스"
서울,경복궁,40,보름달 배경의 고궁의 야경이란.. 한번쯤 경험해볼만 하네요 미리 티켓팅 해야하고요 외국인 무료인것 같던데 인원제한이 있는지 시간 늦으니 못들어가더라구요. 7시부터 야경관람인데 저는 7:30애 도착~ 한 2시간 둘러봤어요 다리 아프지 않았다면 좀 더 보고 싶었는데요^^
서울,경복궁,50,"조선시대 궁궐 중 가장 핵심인 정궁입니다. 서울 한복판에서 오래된 역사를 볼 수 있는, 꼭 들러봐야할 명소입니다. 북악산 등 자연과 어울어진 풍경이 일품!"
서울,경복궁,50,꼭 야간 개장 하는 날에 검삭해서 가세요. 공연도 하고 분위기가 다릅니다. Led 라이트 하나 가져가시구요. 기본적으로 덥지 않아 좋습니다
서울,경복궁,40,"혼자서 경복궁을 방문했습니다. 많은 매체에서 이미 경복궁을 봤기 때문에 그리 큰 기대는하지 않았는데, 지하철 출구를 벗어나 경복궁을 본 순간. 경복궁에 매료되었습니다. 경복궁은 외국인 관람객들이 많았습니다. 경복궁은 건물은 정말 웅장하고 장엄합니다. 궁이 크기때문에 천천히 관람한다면 시간이 2시간 이상 걸리므로 편한 신발을 신고 가는 것이 좋습니다. 입구와 멀지 않은 곳에 짐을 보관할 수 있는 라커룸이 있으므로, 짐이 있다면 이 곳에 보관하는 것을 추천합니다."
서울,경복궁,40,"친구가 인터넷으로 예약해 둬서 줄 길게 안서고 입장할 수 있었다. 훌륭한 조명으로 어우러진 궁전의 모습은 더 멋졌다. 여러가지 공연도 좋았고, 밤에 마실겸 정원 구석구석 돌아보기도 좋았다. 야간개장 강추~^^"
서울,경복궁,40,"어릴때 옆을 지나가보긴 했지만 외국에서 자란 아이들에게 한국을 소개할수있었던 값진 기회였다. 전통 한옥 양식의 아름 다움과 옛날 왕궁의 모습을 엿볼수 있어서 새로운 경험을 알게되었다. 여기저기 틀린 궁과 그 구조들을 감탄하며 하루를 꼬빡 보내었다. 한가지 아쉬운건, 사실 처음 대하는 경복궁 어디를 어떻게 봐야 하는지 감감했다. 조금더 상세한 가이드나 영어로 잘 설명된 오디오 투어기가 있으면 더 낫지 않을까 싶다."
서울,경복궁,50,1년만에 재방문했습니다. 이번에는 야간특별관람! 인터넷으로 예매해서 방문했습니다. 야간방문은 경복궁 내부를 보는데 제약이 조금있습니다 공개하는 공간이 넓진 않지만... 야간 조명과 공연으로 충분히 멋있고 아름다웠습니다
서울,경복궁,50,도심 사이에 있다는게 믿을수 없는 고궁의 매력~ 여유와 조용한 느낌과 차분해지는 매력적인곳 역사 유례는 잘 모르지만~차분해지는 느낌이 참 좋다.
서울,경복궁,50,산책하기 좋은 길과 역사적인 공간으로 요즘에는 한복을 입고 방문하는 사람들 구경하는 재미가 더해진 곳이다. 가끔 야간개장 하는 시즌에 맞춰 밤에 가면 새로운 아름다움이 있다.
