지역,loc,score,review
전남,담양 죽녹원,40,"대나무가 많은 담양의 명소... 가족과 함께 둘레길을 걷고 오니 저절로 힐링이 되는 듯... 입장료가 있어 좀 아쉬웠지만 그래도 좋았고, 조금만 저렴하면 더 많은 인원들이 몰려들듯 하네요."
전남,담양 죽녹원,50,여기 사시는분들은 별로라고 하셔서 혼자 갔다 왔는데 너무 좋네요. 조용히 걸으며 산책하고 아가들 데리고 가족이 걷기 좋아요. 안에 미디어아트 뮤지엄도 있는데 볼만했구요. 그런데 좀 대나무에 낙서는 안하는걸로 매너 어디 갔나요???
전남,담양 죽녹원,50,"담양에서 제일 유명한곳입니다. 담양에 오시면 반드시 가야될곳입니다 입장료는 3천원입니다. 정문과 후문에 주차장이있으며 무료입니다. 정문에는 관광센타가 있습니다. 죽녹원내에는 아트미술센터도있으며 갈림길에는 해설사분이 계십니다. 곳곳에 볼거리가 있으며 경사진부분이 있어서 운동화차림과 간편한복장으로 다니시면 좋습니다. 연인,가족단위로 오시면 좋습니다."
전남,담양 죽녹원,50,담양 떡갈비는 알아도 담양이란 지역자체는 인지도가 많지 않아 생각보다 생소할 것 같습니다.  인구가 많지 않는 지역임에도 불구하고 생각보다 시설이 잘갖춰줘 있고 근처 먹거리도 풍부합니다.  혼자가기보다는 연인과 그리고 가족과 아니면 친구와 가서 추억 나누는 것을 추천합니다~
전남,담양 죽녹원,40,간만에 나들이 대나무 향 좋았다 겨울도 기대된다 느리게 다니는 것을 추천하다 바가지가 없는 점도 좋았다 나무도 아닌것이 풀도 아닌것이
전남,담양 죽녹원,30,"멋진 풍경을 원했지만, 8월초의 무더운 날씨와는 좀 맞지 않는 곳이다. 7~8월은 피해서 방문해야 좋은 느낌을 받을 수 있을 것 같다. 생각보다 규모도 크지 않다. 그냥 생각 했던 대나무 숲이다."
전남,담양 죽녹원,30,"차를 가지고 가거나, 버스로 가면 좋을 것 같습니다. 담양 택시는 기본요금부터 4천원에 매우 불친절합니다. 현금요구, 승차거부에 질려서 4시간만에 광주로 돌아갔습니다. 서울 택시와 비교하면 10년 정도 차이가 있다고 생각하면 마음이 편할 것 같습니다."
전남,담양 죽녹원,50,단체 관광객 몰릴때만 아니면 한적하게 자연속에서 힐링 할수 있는곳!!! 정말 조용히 맑은 공기과 분위기를 느낄수 있는... 다음에는 가족들과 재방문 하려고 합니다!
전남,담양 죽녹원,40,당일치기로 다녀온 담양! 죽녹원이 목적은 아니였지만 지나던길에 축제인걸 발견하여 잠깐 둘러보았고 근처 떡갈비집에서 대통밥과 수제떡갈비를 먹었습니다 (짱맛) 축제기간 내내 행사가 무척 다양해보이던데 체험부스 못한게 아쉽. 가족 친구 연인들과 꼭 가보시길 바래요
전남,담양 죽녹원,50,인생샷 찍기위한 곳이네요. 데이트하러 오기도 좋을 것 같아요 헿ㅎㅎ. 아침부터 비가 왔는데 좀 어둡고 걷기가 좀 어렵더라고요ㅜㅜㅜ 아쉽지만 다음에는 하늘이 맑은 날에 꼭 올거예요 ㅋㅋ 여러분도 와보세요~
전남,담양 죽녹원,50,대나무에 싸여 숲길을 걸으면 왠지 건강해지는 기분이 듭니다. 후문쪽에 전통건축물 들도 너무 멋진 곳이였습니다. 중간중간 팬더들이 반겨주는건 덤이구요 ㅋㅋㅋㅋ  관방제림과 함께 걷기 좋은 명소인듯 합니다. ^^
전남,담양 죽녹원,50,"대숲에서 햇살비치는날 너무 좋았습니다~! 가족들과 산책하기 너무 좋은곳!  관방제림도 멋있고, 담양떡갈비도 먹고 좋았네요~"
전남,담양 죽녹원,50,쭉쭉 뻗은 나무들 사이로 비치는 태양이 얼마나 좋은지~마음이 뻥 뚫렸던 죽녹원 다만 사람이 많을때면 주차할때부터 지침 ㅎㅎㅎ 담양에 간다면 한번은 꼭 들리길!!
전남,담양 죽녹원,40,담양은 작고 아담한 곳이라 하루만에 쓰욱 둘러보기 좋은데 죽녹원도 한번 가보면 기와집을 주변으로 경치가 참 아름답답니다.
전남,담양 죽녹원,40,"입장료 성인 3천원씩 주차장 무료, 바로 맞은편이나 옆에 있습니다 대중교통은 불편하니 택시타고 와두 될것 같습니다. 넓어서 한바퀴 크게 도는데 약 30분정도 걸립니다"
전남,담양 죽녹원,40,대나무들이 엄청 잘 자라고 있고 멋진 곳이기도 해요! 여름엔 엄청 시원할것 같아요! 풍경도 볼수있지만 대나무 사잇길로 산책
전남,담양 죽녹원,50,가족들이랑 두런두런 얘기하면서 한옥과 자연이 어우러진 아름다운 길을 걸으니 기분이 좋았습니다. 대나무와 한옥의 어울림이 인상 깊었습니다. 외국인 친구에게 추천하기 좋은 장소입니다.
전남,담양 죽녹원,30,"담양의 대나무를 진정으로 느낄 수 있는 곳이죠~ 산책로도 참 잘 되어있고 언덕이 굽이굽이 있어서 숨도 차면서 운동으로 제대로 입니다. 입장료 3000원 이구요... 다만, 다들 왜 그러는 건지 바라만 봐도 아름다운 대나무에 왜 자기들 이름을 새기시는건지.... 대나무며 정자며 움막이며 .... 하나 성한 곳이 없더라구요.. 그러지는 맙시다"
전남,담양 죽녹원,40,"여기 숙소를 이용하고, 이이남 전시관과 죽록원 산책을 했는데 너무 만족스럽고 힐링이 되는 시간이었습니다. 한옥 마루에 앉아서 대나무 숲을 보는것만으로도 참 좋더라구요. 이용한 날 비가 왔는데 전 오히려 더 고즈넉하고 좋았던것 같습니다."
전남,담양 죽녹원,30,낮은 산 전체가 대나무숲이다. 숲사이에는 테마별 산책로가 조성되어 있다. 후문쪽에는 주변의 유명한 한옥 건물들의 일부를 지어 놓아 옛 정취를 다소 느낄 수 있다.
