지역,loc,score,review
전북,모악산 도립공원,50,벚꽃 필 무렵에 방문하면 흐드러지는 벚꽃을 볼 수 있다. 가는 와중에도 차창 밖으로 벚꽃들이 많이 보이는데 참 예쁘다.
전북,모악산 도립공원,50,산을 올라가는 곳부터 벚꽃이 맞이해준다. 산책 보다는 정말 등산하는 산이다. 무난한 코스를 갔는데도 다소 힘들었다. 주변에 도립미술관이 있으니 같이 방문하는 걸 추천!
전북,모악산 도립공원,40,전주 근교에서 최고의 등산코스를 보유한 등산로. 자신의 능력에 맞는 다양한 코스를 선택할 수가 있어서 등산이 즐거운 곳.
전북,모악산 도립공원,40,"전주, 완주, 김제 등의 경계에 걸쳐 있는 산입니다.  주변에 사람들이 자주 가고 등산하는 곳으로 산이 험하지 않고, 김제쪽 금산사도 유명합니다. 장군봉 쪽엔 북쪽에 사는 김씨 일가의 묘도 있다고 합니다.  대표적으로 김제 금산사 코스, 완주 구이 주차장 코스, 전주 중인리 코스 등이 있습니다.  주변에 고즈넉한 카페, 음식점 등도 있고, 구이쪽에 도립미술관, 완주로컬푸드, 구이저수지 등이 있습니다.  정상에 송신탑은 이전해야할 숙원사업인데 만만치 않나 봅니다.  산이 험하지 않고 비교적 완만하여 등산하기 좋고, 1시간~2시간 코스로 좋습니다."
전북,모악산 도립공원,40,버스타고 한번씩 가는 모악산이에요. 운동하기 좋고 왕복 세시간정도 걸려요. 절도 두군데가 있구요
전북,모악산 도립공원,40,금산사가 유명하지만 여러방면으로 등산로가 되어있어 트레킹에 좋은 산이며 대중교통으로 접근 가능합니다
전북,모악산 도립공원,40,"전주 모악산은 그리 높지 않은 지역을 대표하는 명산으로 김제 방면으로는 고찰 금산사가 있고, 사방이 탁트인 전망으로 지역의 건강과 기운을 북돋우는 산으로 추천합니다."
전북,모악산 도립공원,50,오후 식사 후도 좋고 오전에 산행 후 점심도 좋지요. 전주시내에서 30분 이내의 거리에 이만한 산을 갖고있는 모악산은 전주시민들의 행운이죠.
전북,모악산 도립공원,40,부모님과 한번씩 방문하는 곳입니다. 시내중심가에서도 가깝고 높지않아 어른들도 어렵게 등산할 수 있는 곳입니다. 주변에 맛집들도 많아 일부러 찾아가는 집이기도 합니다. 유명산들을 방문할 시간이 없을 때 가볼만 한 곳이니다.
전북,모악산 도립공원,40,전주 주변에 거주하는 사람들이 많이 가는 산입니다. 관광객이 찾기는 생각보다 높고 험해 힘듭니다. 하지만 등산을 좋아하는 분들은 멋진 경치가 있습니다.
전북,모악산 도립공원,50,'악'자가 들어가긴 했지만 그렇게 힘든 산은 아니예요 ^^ 하지만 너무 가벼운 마음으로 오를만한 산도 아닙니다.  전주 근교에 위치해서 방문하기도 좋고 산아래 미술관도 있어서 운치있어요 초입에 로컬푸드 판매점도 있어서 신선한 식재료를 구매할 수도 있구요
전북,모악산 도립공원,50,전주에서 근교에 위치한 산입니다. 산 아래쪽에는 미술관도 있어서 아이들과 함께 가벼운 미술 여행을 떠나기에도 좋고 넓은 운동장도 있습니다. 산행은 초심자에겐 좀 힘들게도 느껴지지만 산 중턱에 약수를 제공하는 암자가 있어 쉼의 공간이 됩니다.
전북,모악산 도립공원,50,"서울에서 먼 곳이지만 전주에 사는 지인분을 보러 친구들과 전주여행을 갑니다. 갈 때마다 한옥마을에 들르고, 맛집으로 아리랑하우스에서 갈낙전골먹고, 30년전통의 전주비빔밥도 먹고. 막걸리 골목에서 유쾌한 시간도 갖습니다. 전주는 아무 식당이나 가도 정말 맛집들만 있으니 신기한 곳입니다. :D"
전북,모악산 도립공원,50,"정상이 군부대 옥상으로 되어 있어 신기했어요. 등산 초보자인데, 정상까지 찍고 올만한 산입니다.  등산 후 입구에서 먹는 막걸리 맛은 지금도 잊을 수가 없네요. 사람도 많지 않고, 전주가시는 분들께 추천합니다!"
전북,모악산 도립공원,30,"마이산 정상의 광경은 끝내줍니다. 그런데 저처럼 복잡한 생활에서 벗어나 조용하고 고독하게 자연을 즐기는 타입이라면 추천하지 않습니다. 올라가고 내려오는 내내 사람들을 피해 다녀야 합니다. 고독, 야생, ""탈출"" 같은 것은 분명 없습니다. 이 곳에 3년 살았지만 마이산은 한 번 가보고 다시 안 갔습니다."
