지역,loc,score,review
제주,성산 일출봉,50,코로나로 여름 여행을 어디로 갈까 하다가 제주도 다녀 왔습니다 가고 또 가도 볼 것이 무궁무진한 대한민국의 보물 제주도 입니다
제주,성산 일출봉,50,우뚝솟은 성산일출봉 근처에 올때부터 압도합니다. 아이가 힘들어해서 정상은 못갔지만 정말 멋진곳입니다. 근처에 우도가는 선착장과 섭지코지가 있습니다.
제주,성산 일출봉,50,"제주도하면 제일 먼저 떠오르는 곳은 한라산이지만 명소라고 하기에는 너무 특징이 없고 몇 % 부족한 것 같아요. 그러나 성산일출봉은 세계자연유산으로 선정된 진정한 제주의 랜드마크이며, 올레1,2코스를 따라 걸으면서 오름에서, 바닷가에서 바라보는 성산일출봉의 모습은 방향에 따라서 다른 모습들을 보여준답니다. 성산 인근을 지날 때 가끔씩 발걸음을 멈추고 성산일출봉의 다른 모습들을 즐겨보세요."
제주,성산 일출봉,50,"일출봉 정상까지 꼭 올라가 보세요. 어린아이들도 갈 정도로 그리 힘들지 않습니다. 20여분 안에 정상까지 갈 정도의 높이입니다. 입장료는 5천원이지만, 올라가는 중각중간 정말 멋진 경치를 즐길 수 있습니다!"
제주,성산 일출봉,40,가족이 함께 오손도손 팔짱끼고 가며 이런저런 얘기도 나누고 앞으로의 계획도 약속하며 올라가다보면 힘든 것도 없이 금방 올라가죠. 올라서서 내려다보는 풍경은 정말 멋지고 아름답습니다. 천혜의 바다란 말이 절로 나오고 아쉽게도 해돋이는 보지 못했으나 새벽잠을 포기하고 거기까지 올랐다는 벅참과 뿌뜻함에 더욱 행복해지는 시간이었습니다.
제주,성산 일출봉,40,제주도에 오면 그래도 한 번 정도 들러야 하는 곳 아닐까 합니다. 개인적으로는 우도에 가기 전에 성산일출봉 들렀다가 갔네요. 주변 편의점이나 식당들이 너무 비싸서...미리 준비해가세요 이왕이면.
제주,성산 일출봉,30,예전에 여행이 활성화 되지 않았을 때나 성산 일출봉이 필수 코스였다. 그러나 한번 쯤은 가볼만한 가치가 있는 곳이다. 주변 식당은 비싸고 그닥...
제주,성산 일출봉,50,일출을 보기 위해 새벽부터 서둘러서 해 뜨기도 전부터 산을 탔지요~~ 하지만 일출을 볼 수는 없었어요 ㅠㅠ 그래도 공기가 너무 좋았고 기분은 상쾌했습니다
제주,성산 일출봉,50,너무 힘들지도 않고 그렇다고 올라가기 너무 쉽지도 않아요. 그런데 정말 아름답고 일출과 일몰을 모두 볼 수 있는 장소라는 것도 좋습니다.
제주,성산 일출봉,50,제주도의 필수 코스라고 할 수 있는 성산 일출봉! 성산일출봉에 꼭대기에 오르면 분화구가 있는데 그곳에서 바라본 제주 바다는 아주 장관이랍니다!!
제주,성산 일출봉,40,성산일출봉은 그냥 제주 필수 코스라서 아침에 갔는데 너무 높지도 않고 아래 맛집도 많고 한번쯤은 갈 만한 공간입니다. 시원하고 좋습니다
제주,성산 일출봉,40,새해 첫 가족여행으로 제주도로 갔습니다 일출은 날씨가 흐려서 보지 못했지만 정상에서 보는 자연경관이 너무 멋있고 좋았습니다 강추합니다
제주,성산 일출봉,40,거이 2달에 한번씩 방문하는곳이 제주도라 익숙하답니다 저는 일출봉은 따로 입장료내고 올라가지는 않고 앞에 커피집에서 구경하는걸 좋아해요~ 장관이거든욘
제주,성산 일출봉,50,근처에서 숙박하고 일출을 감상하는 것도 유익하다 날씨에 상관없이 해뜨는 장관은 경의롭다 숙박가격도 저렴하고 우리는 코델리아s리조트 에서 가격면에서는 가성비 좋았고 별도의 바베큐 예약으로 제주흑돼지를 맛있게 먹었다
제주,성산 일출봉,50,오름 정도 생각하고 올랐다가 정말 힘들었어요 거의 산 등반하는 수준이에요. 편한 운동화신어야해요. 막상 올라가면 경치는 훌륭해요
제주,성산 일출봉,30,그냥 그랬네요 생각보다 사람은 별로 없었는데 일출할때 가면 뭐가 좀 다르려나요? 전 낮에 갔거든요 산책수준은 아니고 운동한다 치고 5천원내고 한바퀴는 돌만합니다.
제주,성산 일출봉,50,제주도의 가장상징인곳중 한곳이죠. 제주도를 방문하시면 꼭 찾아보세요. 다만 일출시간을 맞춰서 올라가도 날씨가 좋지못한날에는 일출보기에 실패 할 수있습니다.
제주,성산 일출봉,50,"우리나라의 유산이자 전세계의 유산인 성산일출봉을 좀더 신경써서 관리해주셨스면 합니다. 중간중간 외국분들이 담배를 지정되지 않은 곳에서 피고, 질서 없이 행동하는것에 대해 관리 직원들께서 좀더 신경써주셨으면 합니다. 입장료를 올린것에는 아무의견 없으나, 방문을 하였을때, 아~이래서 올렸구나 하는 동감을 느꼈으면 합니다."
제주,성산 일출봉,40,성산일출봉은 걷기 좋게 나무계단을 잘 깔아 놓았더라고요. 일출을 보는 곳인데 의외로 일몰때 가면 정말 멋진 사진을 찍을 수 있어요.
제주,성산 일출봉,50,"정상까지 가파른 계단을 올라가야하지만 씩씩한 유치원생정도면 충분히 올라갈수있구요, 올라가는 중간에 힘들지만 멋진 전경들이 펼쳐져 있어 쉬엄쉬엄 올라가면 정상까지 금방 도달합니다."
