지역,loc,score,review
충남,서남 해미읍성,40,태안에 갔다가 오는 길에 들렀습니다. 근처 식당도 맛있고 무료 주차장도 있어 편리합니다. 입장료도 없고 들어가면 옛 건물들과 무기들이 전시되어 있습니다.
충남,서남 해미읍성,30,해미읍성에서 행사가 있어서 아이들과 봄나들이를 갔습니다. 매트와 물과 약간의 간식거리를 들고 갔어요 입구에 들어서서 조금만 가면 잔디밭이 있어요 거기에 매트를 깔고 앉아 있었는데 정말 좋았어요 바람이 불어서 약간 춥긴 했지만 그래도 괜찮았어요
충남,서남 해미읍성,40,날씨가좀 더화창한날에 추천드려요 연도날릴수도있고 곤장체험도하고 비가오는날도 운치가있었지만 맘껏뛰어놀지못해 아쉽네요 주차장과 화장실 모두 관리가 잘되어 기분이 좋았습니다.
충남,서남 해미읍성,50,"서산 해미읍성은 그저 편안히 걷는 것 만으로도 편안하다. 성벽의 모습을 보면 그 옛날 민초들의 고단함이 느껴지는 것은 나뿐일까? 인근 식당과 소소한 카페는 두고두고 볼거리다. 천주교신자가 아니어도 해미읍성에서 천주교성지까지 걷노라면 저절로 숙연해지기도 한다. 죽음은 곧 탄생과 연결되는 법. 천주교로 죽지만, 한국의 천주교를 오롯이 받아들이게 되는 역설! 서산 해미는 차분히 걸으면 행복해진다."
충남,서남 해미읍성,40,넓은 공원형태를 취하면서 읍성 형태를 가지고 있다. 야간에 점등이 되면 매우 아름답다. 남문 앞에는 바로 먹자골목도 있어서 배고품도 해결할 수 있다. 한번 가볼만한곳이다.
충남,서남 해미읍성,50,"5월에 방문하기 참 좋은 장소인듯. 푸르르고 곳곳에 꽃이 피어서 걷이 아주 좋습니다. 곳곳에 투호, 연날리기, 활쏘기와 같은 전통놀이를 체험할수 있는 장소가 있으며 전통 찻집과 주막 등 전통문화를 경험해 볼수 있습니다. 성곽을 따라 걷기에도 좋아서 다음에 또 방문하고 싶은 장소입니다."
충남,서남 해미읍성,40,서산 해미를 대표하는 역사적인 공원이다. 규모가 제법 큰 공원으로 여유있게 하이킹을 하기에 좋은 곳이다. 미세먼지는 피하자.
충남,서남 해미읍성,30,읍성 내부는 넓지만 성이 높지 않고 개방되어있어서 그런지 공원같은 느낌이 듭니다. 서산에 오셨다면 한 번쯤은 가보실 만합니다.
충남,서남 해미읍성,40,내부에 예날 살아가던 방식 그대로 재현해 놓은 가정집 사또가 살았던 곳 감옥등 어린이 교육에 좋은곳
충남,서남 해미읍성,50,봄날 푸른 하늘과 어우러진 꽃과 나무 옛 초가지붕이 아름다운 곳입니다 읍성 한쪽에선 방문객을 위한 공연이 진행되고 있고 다른 한쪽에선 마을사람들이 직접 만든 도라지청 등을 판매하여 알찬 여행이 될수있었습니다
