,index,date,movieCd,audiCnt,scrnCnt,showCnt
0,0,20190101,20180290,384106,1158,4594
1,1,20190101,20170658,195859,893,3530
2,2,20190101,20185485,135879,732,1872
3,3,20190101,20186281,132618,766,2519
4,4,20190101,20184187,66686,509,1679
5,5,20190101,20175547,66173,577,1309
6,6,20190101,20183785,60574,581,1083
7,7,20190101,20182421,32824,449,672
8,8,20190101,20183479,29372,336,500
9,9,20190101,20168773,19248,426,705
10,0,20190102,20180290,105089,1110,4364
11,1,20190102,20170658,49300,819,3311
12,2,20190102,20185485,40954,693,1836
13,3,20190102,20186281,35828,719,2386
14,4,20190102,20184187,24845,529,1700
15,5,20190102,20175547,23104,587,1353
16,6,20190102,20183785,21225,501,843
17,7,20190102,20182421,10527,370,508
18,8,20190102,20183479,10414,280,383
19,9,20190102,20168773,6794,403,684
20,0,20190103,20189463,125882,962,3269
21,1,20190103,20180290,81399,1074,3853
22,2,20190103,20170658,35509,747,2681
23,3,20190103,20185485,32889,652,1711
24,4,20190103,20186281,25065,656,1921
25,5,20190103,20175547,19023,536,1112
26,6,20190103,20184187,17227,530,1451
27,7,20190103,20183785,13291,369,525
28,8,20190103,20176251,4807,25,26
29,9,20190103,20183479,4200,148,180
30,0,20190104,20189463,114355,1123,3698
31,1,20190104,20180290,94390,1094,3956
32,2,20190104,20185485,38528,657,1828
33,3,20190104,20170658,36003,732,2582
34,4,20190104,20186281,29301,657,1909
35,5,20190104,20175547,17369,524,1090
36,6,20190104,20184187,17202,510,1330
37,7,20190104,20183785,11503,375,522
38,8,20190104,20183479,3967,154,194
39,9,20190104,20183238,3929,100,168
40,0,20190105,20189463,268326,1393,4712
41,1,20190105,20180290,209224,1123,4004
42,2,20190105,20185485,74552,708,1828
43,3,20190105,20170658,61436,741,2250
44,4,20190105,20186281,54071,662,1678
45,5,20190105,20184105,42874,447,735
46,6,20190105,20184187,24906,506,1065
47,7,20190105,20175547,24315,479,891
48,8,20190105,20183785,19798,413,573
49,9,20190105,20183479,8061,160,207
50,0,20190106,20189463,245225,1453,4862
51,1,20190106,20180290,178306,1121,3874
52,2,20190106,20185485,63005,701,1788
53,3,20190106,20170658,50537,715,2073
54,4,20190106,20184105,48084,449,734
55,5,20190106,20186281,46067,678,1610
56,6,20190106,20184187,20229,498,993
57,7,20190106,20183785,19350,409,564
