,title,content
0,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,¿ä¿À¿ì~  ³»°¡°«´ø ½ÃÀåÀÌ·ëÀÌ Pasar BadungÀÎ´ë PasalÀÌ¶ó°í Àß¸ø½á¹ö·Á½ç...    ÂØ²û ÇÞ°¥·Á¹ö·ÈÁã...Â÷¾Ï³ª..   ¾ÆÇÁ·Î´Â ´õ¿­¾¾¹Ì È­±äÇÒ°Ô~~!! ¿ï²¿¸Í¾²µé ÁÖ¸» ¿ÏÁÔÀßº¸³ÁÀ¸¸é Á¶Ä¹±¸ ÀÌ¹øÆíµµ Àç¹Ô°³ºÁÁÒ~~!!! BAAAAAAM!!!!!
1,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,»ý¼± ÇÖ¹Ù·Î ÆøÅº µ¹¸®±â ÇÏ´ÂÁÙ     
2,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,Park Joon hyung is like a kid who puts everything that people give him to his mouth lmao
3,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,"That fish and sundae needs to be cook first hyung
No one tried to tell you even Jack lmao xD"
4,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,»ý¼±ÇÖ¹Ù ºÀÁö¿¡ ´ã¾ÆÁØ°Å °³¿ô±âˆª                  
5,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,Àú±â¼­ 9³â »ê »ç¶÷À¸·Î¼­.. ÆÒ½ÉÀ¸·Î ¼Ó»óÇØ¼­    ½Î±ä½Ñµ¥ ¿Ü±¹ÀÎ ¹Ù°¡Áö.. ¾î¶² °¡°Ô´Â ÇöÁö¹°°¡ µÎ¹èÀÌ»ó ºÎ¸£³×¿ä   ÀÌ°Å ÀÐÀ¸½Å ±¸µ¶ÀÚºÐµéÀº Àú±â °¡½Ã°Ô µÇ¸é Àú±â °¡°Ý¿¡¼­ Àý¹ÝÀÌ»óÀº ±ï°í µé¾î°¡¼¼¿ä..
6,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,»ý¼± ÇÖ¹Ù ¹«½¼ ¸ÞÀÌÇÃ½ºÅä¸®¿¡ ³ª¿À´Â ¾ÆÀÌÅÛ °°³×         
7,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,"""1..2..3...?""
""...4?""

        "
8,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,´©°¡ ºÁµµ ¸À ¾ø¾î º¸ÀÌ´Â °Íµé¸¸ ¸Ô¾îº¸³×      
9,(ENG SUB) ´Ü¼Ò ºê±Ý¿¡ ÃëÇÑ ¹Ý¹é»ìÀÇ ¡Ú°¨ÀÚÅÁ ¸Ô¹æ¡Ú ¿¬±ØºÎÅÍ ¹ö½ºÅ·±îÁö ÀþÀ½ÀÇ ¼ºÁö ´ëÇÐ·Î¿¡¼­ ¹®Âð Å»Ãâ ÇÁ·ÎÁ§Æ® l ¿Í½ç¸Ç ep.86¤Ógod ¹ÚÁØÇü,"Á¤¸» ÀÌ ÇüÀº ¿ì¸®³ª¶ó °°Àº ÀÛÀº ³ª¶ó¿¡¼­ ³î±â´Â ³Ê¹« ¾Æ±î¿î ÀÎ¹°ÀÌ¾ß
Àü¼¼°è µ¹¾Æ´Ù´Ï¸é¼­ ¼ûÀº ¸í¼Ò Ã£¾Æ°¡´Â ¹æ¼Û ±â´ëÇÔ"
