,title,content
0,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,엊그제 할매국밥갔는데 일하시는 이모가 김준형인가 박준형이가 무슨썹 왔다가서 바뻐죽겠다고 그렇게 욕을하더라구욬   
1,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"부산 10년차 입니다.
1번 국밥집과 3번 대구탕집
격렬히 인정합니다."
2,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,3:40 준나 맛있어 4번 후에 아주머니 : 끝났다.                         
3,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,12:45 that forced laugh tho lmao
4,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"""The fish is thicc"" lmaoo"
5,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,와 48년생 일흔 넘으셨는데 엄청 정정하시네
6,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"1. 할매국밥 국밥 // 리뷰 337 // 부산 동구 중앙대로533번길 4 // (지번) 범일동 28-5 //
 영업중월~토 10:00 ~ 21:00 // 051-646-6295

2. 사철정식 // 한식 //  리뷰 1 // 부산 해운대구 재반로 37 // (지번) 재송동 509-22 // 051-782-0120"
7,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,서울 촌년이라 부산 처음 갔을때 가이드 붙여서 해운대 갔는데 그 더운 날씨에 대구탕을 먹으라더라 먹기싫어서 찡찡 댔는데  너무 맛있어서 말없이 먹음
8,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"도전받아라 와썹맨!


맛집도 있는둥 없는둥,
놀거리도 있는둥 없는둥,
갈만한데도 있는둥 없는둥


노잼도시 대전에서 과연 분량을 뽑을 수 있을까?"
9,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,야 국밥을 왜먹냐? 그 돈이면 차라리 뜨-끈한 국밥 든-든하게 먹고말지  
10,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,진짜 할매국밥 맛있습니다. 한 입 뜨는 순간 소주 2억병.
11,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,Wassup Man's editing squad is straight fire.
12,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,12:46 뒷자리 직원분... 사회생활 잘 할듯.. 졸다가 빠른 리액션쓰
13,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,맨 처음 간 국밥집 진짜 맛있음   수요미식회 나온 이후로 맨날 줄서서 먹었는데 그럴 가치가 있음... 수육 완전 야들하고 순대도 수제순대 냄새도 안나고 맛있고 일반 돼지국밥이랑 다르게 국물이 약간 갈비탕느낌도 남 깔끔하고 시원함 하여튼 존맛
