,title,content
0,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,안녕하세요. 와썹맨 담당자입니다. 영상 올라가고 뺌형에게 다급한 카톡이 왔습니다... 5:27에 대우 르망이 Ford가 아니고 Opel인거 알았는데 착각했다고 합니다. 정말로 알고 있었는데 순간 흥분해서 착각했다고 구독자 여러분한테 꼭 전해달라고 하네요  
1,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,형은 차랑 함께있을때가 제일 행복해보여   
2,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"이 영상이 뭐가 좋냐면, 뺌형이 진심으로 즐거워하고 관심있는게 깊이 느껴짐      텐션이 올라가 있으니 보는 사람도 즐거움. 제작진들은 자동차 분야로 아이템을 채워요      차에 대해 1도 모르는데 우승 세레모니 씐나   "
3,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,국내에선 욕 오지게 먹는 현대라도 저렇게 밖에 나가 싸우고 있으면 국대 보는거 같아 또 뿌듯하죠
4,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,현대가 현재 제조사부문 1등이고 드라이버 부문 1위는 도요타의 오트타낙 선수임. 대박인건 결승끝나고 오트타낙 현대이적 뉴스가 공식으로떠서 내년엔 현대가 더 강해질거라는 사실. 지구 최고선수를 내준 도요타는 맨붕...
5,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,현대차 대단하다... 짧은 역사에 비해 확실히 대단하구나
6,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"이번 영상 진짜 엄청나다
내용부터 설명 침투력 예고편까지 모든게 완벽함 여윽시 와썹맨팀"
7,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,와 이번편 죽인다. 현장 다녀온 기분이야!  현대 상무님이 센스 있으신게 와썹맨팀 챙겨 주셔서 내가 대접 받은 느낌 !  저러니 저 자리 까지 갔나봄
8,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,아 진짜 쭌형이 젤로 멋있음.. 차 종류도 역사도 잘알고 지식도 많고 친화력도 좋고 솔찍히 대체 할 사람이없음 레이싱경기 잘 몰랐었는데 이렇게 잼있게 접할수있다는게 감사함 진짜 다방면에 지식많고 재능있음
9,(ENG SUB) 단소 브금에 취한 반백살의 ★감자탕 먹방★ 연극부터 버스킹까지 젊음의 성지 대학로에서 문찐 탈출 프로젝트 l 와썹맨 ep.86ㅣgod 박준형,"Goddam, he really knows his car history"
