,title,content
0,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"  워크맨 인력소  

워크맨의 리뷰를 원하는 job것이 있다면 댓글 추천 



 청소.인력.식당.요리.철거.공장.물류

 그 외 모든 job것들

 200% 부려먹기 가능  장난사절 



세상의 모든 job것들을 [워크맨]이 직접 리뷰해드립니다!"
1,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,편집누가하냐 진짜 존나잘한다 장성규도 장성규 인데 편집이    레전드
2,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,사장님 이거 제 키보든데 사장님한테 싸게 팔게요                                    미친놈아                   
3,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,효진선배님 진짜 개이쁘다 와 엘사선배님 다음으로 대존예    
4,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"알바분들 미모    장난아니다
7:40 청하 닮은 분 졸귀   머뭇머뭇   "
5,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,5:47 아닌데~ 내가 봤는데~
6,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,외국인 인터뷰할때 땡큐 하고 끝내는거 개웃기네 진짜                 
7,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,효진 선배님   아이돌 아님? 개예쁘다
8,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"5:47 ""아닌데~ 내가 봤는데~"" 저러는 사람이 어딨어 진짜,,,,



완전 취향저격,,,,,               귀엽다       끼 많으신거 같은데 성격 완전 맘에 들어    "
9,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,            미친거 아니야     제 키보드인데 사장님한테 싸게 팔게요                     
10,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"베스킨라빈스 알바해주세요 
극한직업중 하나죠 부려먹기 200예약  "
11,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,6:33 개인적인 킬포. 소리반 공기밥 편집자님 존경합니다   
12,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"""Weden weden Sweden""    I am CRYINGGGG   "
13,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,4:51 이분 진짜착해       
14,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"7:29부터 장성규랑 효진선배 대화하는거 뭔가 남매가 대화하는것 같다  그리고 장성규가""한마디를 안 지네""하는거 뭔가 진짜 딱 오빠가 여동생한테 하는 말 같네  "
15,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,3:00 이때 장성규씨가 4500원 대신 45000원 결제하실줄.....
16,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,알고보니 장성규 아나운서님께 드린키보드 아까 라면 쏟은키보드면    
17,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,4:02 에 유경몬 아님?
18,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"김기리 개그맨
장성규  아나운서

아나운서가 더웃기네"
19,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,5:46 아닌뒈~ 내가 봤는뒙~
20,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"안녕하세요! 6:25 에 잠시 출연한 밴드 캄포(CAMPO)  입니다 !
표절곡이 아닌 저희의 곡으로 활동을 시작했습니다 ^__^
2019.07.29 캄포(CAMPO)의 첫싱글앨범 ""영원"" 이 세상에 나오게 되었습니다 ! 
각 음원사이트에서 들어보실 수 있습니다.
인터뷰 진행해주시고 호응해주신 장성규님, 워크맨팀 에게 너무나 감사드립니다!!"
21,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,4:25 에에 엥?   날 안다고?  
22,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,"6:35 아무생각없이 공기반 소리반으로 봤는데
공기밥                                      "
23,??독립 채널?? 홍대에 숨겨진 제2의 백종원 양성 학교?! 요리스킬 만렙 찍을 수 있는 PC방 알바 리뷰 (feat.카구리) ㅣ워크맨 ep.8,6:35 전현무 등장
