,title,content
0,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"Job것들아~~~~~~,,, 인력소장이다,,,    

09:54 돈 삥땅친거,,,,아니구우~~ 잡것들 위해서~~ 이벤트 많이~!! 준비중이니까,,,!!     

구독이랑,,,,알람설정,,해놓는거~~!! 잊지말어~,,,~~!  "
1,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,사실상 우리나라에서 없으면 안되는 제일 귀한 분들임
2,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,사람들이하는말이 노가다는 가장더러운직업이라는데 노가다만큼 깨끗하게 돈버는 직업은 별로없죠.....
3,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,저희 아부지도 건설현장에서 일하시면서 우리남매 키우셨는데..여름이면 일하다가 쓰러지시거나 돌아가시는분들 진짜 많아요 돈 떼먹는 인간들도 있구요 참 여러모로 힘든직업입니다 아부지감사해요
4,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"27나이에 외부.내부 벽채 돌(석공사) 일하는 3년차된사람입니다

가끔 인식때문에 너무힘듭니다  물론 대기업직원들.일반사람 보단 저는 가방끈짧다고생각하긴합니다
23살9월에 군대전역하고 잠깐벌어볼까하고 23살10월에 뛰어들었는데  일이재미있어서 지금까지하고있네요

영상에 보이는 돌 외벽작업(석공사) . 타일   그리고 영상엔안나왔지만 설비.용접.전기 목수 내장목수 등등 기술직입니다 

장성규씨가 붙인 타일 쉬워보이지만 저거 다 마감.레벨.메즈보면서 붙이는겁니다

어느공정이든 기술자들보면 돌대가리는아닙니다 생각없인 기술자타이틀 못답니다

건설업에 대한 우리나라 인식이 좋아지길바라고  중국인보다 젊은제또래 친구들이 더 많은 세상이왔으면좋겠네요"
5,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,와 오늘영상중에 '레미안 아파트 1평도 못사'가 제일 소름돋았다....
6,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"될 때 까지한다...
JTBC 아나운서 체험기"
7,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"그러니까 집값이 미친거지요
미치도록 몸상해가며 돈벌어도 한평을 못산다는 게 말이 되나요??
사람이 어느 정도 감당할 수 있는 수준으로 집값을 맞춰야하는데
뜬구름 잡는 이야기이니....
서민들은 갈수록 살기 힘드네요
힘든 일 하셨는데 푹 쉬세요
항상 응원합니다"
8,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"톨케이트 계산원 해주세요...
진짜 잘 하실 것 같은데...."
9,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,노다가도 진짜 육체노동만 하는사람은 거의없음 대부분 기술자들이고 힘든만큼 많이버심
10,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,다른 편은 다 쳐웃으면서 봤는데 이건 웃으면서 못보겠다  
11,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"와 마지막 한마디   띵명언수준인데,,,,,
한푼도 안쓰고 모아도 아파트 1평을 못산다는 거 존나 웃프다"
12,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"누군가는 해야 할 일들이지만 위험이 따르기때문에 선뜻 나서지 못하는 일들을 묵묵히 해주시는 여러분들께 감사인사드립니다.

 항상 조심하시고 안전이 최고입니다!!!!!!! 힘내십시요!!!!!!!!  (또 보러옴 재밋엇어    )"
13,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"마지막 말이 명언이다.
일당 받아 한푼도 안쓰고 1년 동안 모으면 래미안 아파트 한평도 못사   "
14,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,5일 못한다는줄 알았는데    주7일   
15,?안전제일 ? Job것들이 제일로 원했던 장성규의 고생길♥ 일하다가 5줌 쌀 뻔한 아파트 건설현장 일용직 리뷰 ㅣ워크맨 ep.21민속촌 보내놨더니 여기서도 아마존;; 구역 안 가리고 저세상드립 폭발해버린 민속촌 알바 리뷰 ㅣ워크맨 ep.22,"워크맨 - 룰루랄라 - Jtbc - 삼성
결국 다 삼성 라인인건가   "
