,title,content
0,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","  워크맨 인력소  

워크맨의 리뷰를 원하는 job것이 있다면 댓글 추천 



 청소.인력.식당.요리.철거.공장.물류

 그 외 모든 job것들

 200% 부려먹기 가능  장난사절 



세상의 모든 job것들을 [워크맨]이 직접 리뷰해드립니다!"
1,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",아니 왜 손님 따라주는걸 자기가 마시냐곸                  
2,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",맥주보이 저거 장난아닙니다 15kg두세시간 들고 다니면 지금 날씨에 정말 탈진합니다. 고생정말 많으셨습니다.
3,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",이사람이 정상적으로 차려입고 뉴스에서 점잖게 아나운서를 했다는게 믿기지가않는다
4,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",아까 김광현 외쳣으면서 그 김광현 아들을 그냥 보내네...      
5,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","안녕하세요. 맥주보이로 출연한 아르바이트생 지성입니다!
이날 촬영 너무 재밌게 했어요. 워크맨 사랑합니다 
워크맨 채널 독립되기 전 영상에 댓글로 많은 분들이 맥주보이에 대한 질문을 해주셨는데
제 채널에 질문들에 대한 답변과 맥주보이와 관련된 영상을 하나 올려놓았어요.  
저번에 쓴 댓글은 왠지 모르겠지만 지워져서    여기다가 다시 댓글 답니다!"
6,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",6:34 nc쪽 가자마자 nc화이팅 하는거 진짜 개웃기넼                    
7,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",꽐라되세요 도랐냐곸            
8,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",사회생활 만렙               nc구장 가자마자 태세전환하는거 개웃기네
9,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",3:15 김광현 아들       인생 인터뷰 놓쳤네      
10,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",약빤 진행자와 약빤 편집자                             
11,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","워크맨 100만 가자!!!!
장성규님 지금처럼 대충 살아주세요 "
12,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",시급 되게 높다고 생각했는데 맥주통 무게를 보면 더 받아야겠다 싶다   
13,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","성규 : Nc가 최고다~ 
팬 : 우승해야죠~
성규 : nc 가 장사가 잘되요            웬드립     "
14,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","6:55 BBQ 맥주보이 장성규 : (앱 카드) 이거 어떻게하는거지!?
                 (BBQ에서 안 배움?)
                 네네치킨(형이 거기서 왜 나와??)"
15,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",아저씨 맥주 마시는거 보고 뿜었               아 지하철인데 너무 웃겨서 참느라 혼났어요
16,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",한약다이어트중이라면서 치킨뜯는건 뭔데          
17,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","1:19. 아니 다이어트 한다고 과자 안먹었는데
치느님은 옳다 이건가요?"
18,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",인생인터뷰 놓침                        
19,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",의무실에 소주 무엇                                                             
20,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","장성규 진짜 김기리 아님?
꽐라되세요랰  "
21,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","김광현~~~!!!! 외치시더니 김광현 아들 놓치는 거 완전 웃김      나도 야구장에서 생맥 먹고 싶다.,  휴 혼맥 지루하다"
22,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",내기준 이 영상이 전설의 시작임    젤 웃겨
23,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",7:38 거북잌       진짜미쳣땈    이거편집자누구에욬           진짜존경              
24,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",7:01 네네치킨 옷입고있는댘      비비큐애서 맥주먹넼   
25,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",7:00 네넼              
26,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",7:00  bbq에서 안배움?          자막뭔데            
27,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",구독자수 공개 해주세요  오르는거 보고 싶어요
28,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",1:49 꽐라 되세요           아진짜  너무웃겨
29,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",2:13 인터뷰하시는 예술대학교 학생 이쁘심
30,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",3:28 원래야구장은다비싸욬 
31,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",갓성규 대체 이 끼를 아나운서때 어떻게 봉인해 둔거야    
32,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",아 장성규 아나운서 넘 호감이닼           요즘 제일 재밌어
33,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",0:18 오른쪽 아래는 대체 뭐하는 직업이죠...?
34,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","3:00 두분 마음이 안 맞네  
한잔과두잔
카드와 현금
얼굴가리기,안가리기"
35,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3","네가 진짜 광고 다 본다     진짜 
꼭 성공해야된다  진짜 100만 급나빨리갈꺼갈은데  
그와중에 다이어트한다고 과자는 안드시고 닭다리는 뜯으시는 그..바로 장성규  "
36,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",손님을 따라 줘야지      왜 지가 마시냐곸   개웃기넼
37,"??독립 채널?? ※충격※ 반도의 안 흔한 시급 17,000원짜리 알바..?! 공짜치킨에 보너스까지 개이득!!★맥주보이★알바 리뷰ㅣ워크맨 ep.3",7:39 앜         거북이 침투력
