,title,content
0,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23","잡것들아~~~  인력소장이다~~~~,,, 

우리보다,,, 드립~ 더!!!,,, 잘치는 잡것들~  나와봐~~~  

멍게소리하지말고~ 조개구있네 .  "
1,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",워크맨이 해양수산부와 콜라보 하셨기에 저희도 줄서봅니다^^ 공무원 체험 어떠세요?
2,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",왜 아무도 노래부르신 분 얘기를 안하시지? 진짜 잘 부르시는데
3,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23","진짜진짜 평범한 회사원 해주세요    
지옥철과 야근까지 해주세요      "
4,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",시밯    사장 뒷담해보라니까 아빠가 사장이노               
5,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",편집하나는 인정한다 역대급이다      
6,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",될때까지 한다 방송국 아나운서 체험
7,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",노래       아 개병맛인데 중독성있고 잘생겨보인다 와 뭐지 
8,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23", 쩌라고              존나 신선해 이런자막은 진짜 처음이야
9,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23","진짜 이분은 시대 잘타고 태어났다.
약간만 늦게 태어났으면 관종 충족 못해서 화병에 뒤질듯"
10,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23"," 해양수산부 홍보대사 선넘뀨 

뮤비 풀버전   https://youtu.be/5BLaot2wB2c

우리 홍보대사 넘뀨 넘뀨~선넘뀨 
해수부에서 반해버려찌 무야~
홍보 잘 하고 있는지 확인하러 왔는데 넘나 만족쓰해  

수산물 소비촉진을 위해 영상 풀버전은 우리 어서오션에서 확인 할 수 있따꾸 
그럼 앞으로도 멋진 활동 기대할게~!   "
11,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23","잡것들이 원하는 성규형이 꼭 해야 하는 목록

1.JTBC 아나운서
2.에뛰드 아르바이트
3.수련회 교관
4.연예인 매니저
5.베어그릴스 따라다니는 카메라맨
6.쿠팡맨
7.택시기사
+ 댓글에 추가"
12,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",The clip is crazy fast I can t even finish reading the subtitles
13,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23","방송국 아나운서는 좀 그러실테니,
사내 방송 아나운서/기자 어떠세요! 
여기는 나주에 있는 한전 홍보실 입니다~~!!   "
14,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",The style of the song is almost like Psy's style XD
15,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",장성규 출연료나 올려줘라... 뱅송국놈들아
16,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",성규형 제발 형이 수련회교관하는거 보고싶어 
17,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",자막 진짜 천재같닼       얼마나 노력해야 이런 드립이 나오지...       
18,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",형.. 어떻게된거야.. 인터뷰 다들 거부해 ..                        근데 편집    미쳤다      
19,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",I've been constantly coming back here everyday to see if there is already a sub feels bad not being able to understand korean lol Hahahaha
20,"?? 300만 돌파 축하, 게드립 생선드립 다 모아봄?? 해산물 제철 기념 날로 먹는 수산시장 알바 리뷰 ㅣ워크맨 ep.23",수능이 얼마 남지 않은 이 시점에    저런 노래를                      고갈광우조오장  
