,title,content
0,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,"우리 잡것들아,,~~영상에 쪼오오끔,,,문제가~~생겨서리~~~다시올려븐다~!!!!
워크맨 기다린,,,잡것들,,,,넘 미안혀~~~!! 본넘들은 다쉬~~보구~~안본넘들은~~ 재밌게봐줘,,~~!!!

다신~~ 이런일 없도록,,,,최선을 다헐게~~~!!!! 



그리구,,,우리~~~ 잡것들,,을,,,위해서~~!!!

9월 29일 일요일 낮 12시에~,,미공개 영상 올라가니께~~~ 딱 기다려,,,~~!!  "
1,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,될때까지 한다 방송국 아나운서 체험
2,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,초면이야 텐션 미쳤나                                                                  
3,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,"사장님 개웃겨         
덤덤한 표정으로 할 말 다 함      
마지막에 해병대도 개웃기네"
4,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,술집알바가    시급대비 최악인거같음
5,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,이거 다시 올린 이유가          장성규가 테라?인가 다른맥주 좋다고 멘트했는데 바로 카스 모델 되서 지우고 다시올린거에요        
6,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,아진짜 미쳤낰                      자막센스 진짜 도랏닼        인천 바로병원각 오해금지 진짴     
7,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,7:33 도대체뭐가         비슷한뎈                      직원분도 존나능글맞넼            
8,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,사장 성깔있네. 손님들이 저래 만들어놓은듯
9,비오면 X을 싼다고요...? 역대급 정신없음류 甲 난이도??X100 대환장 술집 알바 리뷰 | 워크맨 ep.20,I cried from too much laughter watching this          
