,title,content
0,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,"  ¿öÅ©¸Ç ÀÎ·Â¼Ò   

¿öÅ©¸ÇÀÇ ¸®ºä¸¦ ¿øÇÏ´Â job°ÍÀÌ ÀÖ´Ù¸é ´ñ±Û ÃßÃµ  



 Ã»¼Ò.ÀÎ·Â.½Ä´ç.¿ä¸®.Ã¶°Å.°øÀå.¹°·ù 

 ±× ¿Ü ¸ðµç job°Íµé 

 200% ºÎ·Á¸Ô±â °¡´É  Àå³­»çÀý  



¼¼»óÀÇ ¸ðµç job°ÍµéÀ» [¿öÅ©¸Ç]ÀÌ Á÷Á¢ ¸®ºäÇØµå¸³´Ï´Ù!"
1,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,µÉ ¶§±îÁöÇÑ´Ù jtbc ¾Æ³ª¿î¼­ Ã¼ÇèÇØÁÖ¼¼¿ä
2,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,¿Í ³ª ¿©ÅÂ±îÁö À¯Æ©ºê º¸¸é¼­ Àú°Å °ñµå¹öÆ° ¹ÞÀÚ¸¶ÀÚ ÆÄ±«ÇÏ´Â »ç¶÷ Ã³À½ºÃ´Ù ÁøÂ¥                                         
3,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,ÆíÁýÁøÂ¥            ±×·¯½Ã¸é ¾ÈµË´Ï´Ù           ¿©±âÁ÷¿øÀÏ »ÓÀÔ´Ïˆª                                 
4,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,Àå¼º±Ô ¶«¿¡ °ñµå¹öÆ°ÀÌ °ñµå°¡ ¾Æ´Ñ°É ¾Ë¾Ò´Ù   
5,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,³­ Àú ÃÊµùÀÌ Á¸³ª ¿ô±ä‰V        Ú                ±Í¿±´Ù
6,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,      ¸î½Ê¹øº¸¸é¼­ 3:21ÃÊ¿¡     ¾ß ÇÏ´Â°Å Ã³À½µé¾ù´Ù               ¿Ö¿åÇÑ°Å¾ß                   
7,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,"¾Æ´Ï Àú ÃÊµîÇÐ»ý Ä£±¸ ¶±ÀÙÀÌ ´Ù¸¥µ¥,,"
8,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,8:24 ¸ñ¼Ò¸®         
9,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,±×·¯½Ã¸é ¾ÈµË´Ï´Ù. Á÷¿øÀÏ»ÓÀÔ´Ï´Ù.                                            ¿ô°Ü¼­ ¼û¾È½¬¾îÁü ÆíÁý µ¹¾Ò³Ä°í                    
10,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,³²µé ´Ù ±ÍÇÏ°Ô ´ëÇÏ´Â ½Ç¹ö¶û °ñµå¹öÆ° ¹°¾î¹ö¸®°í Âõ´Â»ç¶÷Àº Àå¼º±Ô¹Û¿¡¾øÀ»µí                      
11,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,1:48    ÀÌ°Å º¸°í ¹è Âõ¾îµéÀÌ ¿ô¾ú†¶           
12,??200¸¸ ±¸µ¶ÀÚ Æ¯ÁýÀÌ µÇ¾î¹ö¸° ¿¡¹ö·£µå 2Åº!! ?? ¿ª´ë±Þ ÃÊ°ú±Ù¹«¿¡ ÆÄ¾÷ ¼±¾ð ¸±·¹ÀÌ?! (feat. µÚ´ÊÀº °ñµå¹öÆ° ¾ð¹Ú½Ì)¤Ó¿öÅ©¸Ç ep.18,¿Í        °ñµå¹öÆ° ¶â´Â°Å º¸°í Ä³¸¯ÅÍ ÁøÂ¥ ¿ÏÀü ÀÌÇØµÆ´Ù                  
