,title,content
0,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"영상 내 의류매장 아르바이트 유니폼의 경우 두가지 안이 있습니다. 
첫번째로 타 브랜드가 크게 부각되지 않는 선에서 본인 옷을 착용하도록 권장하고 있으며, 두번째로 아르바이트생이 구매를 원할 시에 직원 할인가 혜택으로 구매를 할 수 있도록 합니다. 
강매라고 오해되는 부분이 있어 안내 공지해드립니다  "
1,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,JTBC 아나운서 알바요 형 진짜 마지막이요
2,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,광고하려다 이미지  망한 좋은케이스                        
3,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,      저 매니저분은 어느매장가면 맘에안들어도 무조건 한개씩 사가시나봐요 뜨내기라니...  이거뭐 무서워서 옷구경도 못가겠넹
4,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,돈 받고 일하면서 눈 튀하면 손님한테 맥 빠지고 짜증 난다고 생각하는 자체가 서비스업에서 일 하면 안 된다..제발..부탁이에요..
5,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,안사고 나가면 뒤에서 직원들이 저런식으로 얘기하네  
6,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,냇지오 홍보팀 난리났을듯           홍보해달라고 알바 섭외했을텐데 직원 유니폼도 강매시키는 복지시스템 실태만 드러내고 홍보는 전혀 안됨           
7,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24, 디스 는 되는데  커버리  안된다 장성규 그의 드립력은 어디까지 인가 ..
8,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,첫번째 손님 중간에 반말하면 장성규도 같이 반말하네     빼! 이러니까 알았어라니    
9,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기 손님비하표현하는거맞음      어쩌다가끔오는손님=호구 란 뜻으로 쓰이는거 자영업해보거나 일해본사람다아는데 무슨       욕처먹어도쌈
10,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,패션 브랜드 여기저기서 판매알바 많이 해봤는데 지금까지 노스페이스 빼고 왠만한 브랜드들은 전부다 유니폼 강매했음... 그때는 그게 당연한줄 알았는데 노스페이스는 유니폼 그냥 주길래 개감동했었던 기억이....
11,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷 가게 갈 때 직원분들이 말 안 거셨으면 좋겠음  
12,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"뜨내기????
이건 불편충을 떠나서 나도 판매직 하는 사람인데 한번도 저런 단어 내입에서 꺼내본적도 없고 구경만 하고 나가도 아무생각 없는데 저분은 그거마저도 진상으로 보는거임? 더군다나 촬영하는거 알면 말조심해야지.."
13,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷보러온 사람한테 뜨내기 이지랄한다
14,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"웬만하면 참고 보려고 햇는데
오랜기간 경력자로써
저 직급에 뜨내기라는 표현을 쓴다는게 참...
기분 상당히 안좋네요"
15,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,뜨내기라는 단어를 쓰는 것은 정말 잘못된 것 같네요. 아이쇼핑도 손님이고 그런 것 자체가 누적 마케팅이라고 봐야 하는데 말이죠.
16,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"한도초과손님한테 입덕할거같어         
장성규랑 티키타카 뭔데         "
17,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,역시 근본없는 브랜드답다. 기술력은 1도 없고 판권만 사와서 로고만 찍어서 옷 판매하는 기업. 알바생조차 카메라 앞에서 뜨내기 타령하는거면 말 다했지
18,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,댓글 반응보니까 광고하러 나왔다가 전부다 일자리 잃을 삘인데     근데 옷도 엄청 비싸네. 저 가격이면 나이키 삽니다:)
19,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,근데 저 아디다스 알바생도 웃기지 않나?? 와서 안사고 가면 짜증난다는데 그게 왜 짜증날일이냐   오면 다 사야하냐?? 다 정가에 팔아재끼면서
20,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,카메라 앞에서 뜨내기라고 말하다니    평소 그들의 대화가 짐작이 간다
21,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"직원한테 무슨 옷을 파냐
옷 주기 싫으면 자율복이라도 해야지"
22,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,옷보고 마음에 안들면 안살수도 있는거지      뜨내기라니         
23,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"        그냥 장성규님 대하는 것도 별로라고 느껴졌는데 손님을 뜨내기라고 표현하는 거 자체도 별론데; 그냥 워크맨 다른편에 나온 직원들이랑은 다른 느낌인거 확 와닿고,, 댓글에 안좋게 보인다는 의견도 많은 거 보면 확실히 잘하진 않은 것 같은데,,  "
24,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,7:08 매니저 뜨내기 발언
25,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,"정보) 내셔널지오그래픽, 디스커버리는 그냥 이름만 빌려온 무근본 브랜드니 알아서 거르자"
26,*혈압주의* 옷가게 알바하다가 최악의 변태진상(손놈) ??만난 썰;; 상상초월 의류매장 알바 리뷰ㅣ워크맨 ep.24,아 옷가게 직원들이 입는 옷은 유니폼처럼 그냥 주는 줄 알았는데 자기 돈으로 사는거였구나....
