,title,content
0,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,"잡것들아~~ 또 한가지 당부하자면,,,,~~!!    

용기내서 출연해준 울 쏀~~잡것들에게,,, 상처가 될 댓글들은,,,삼가줘~~~!!!

쪼오끔,, 진지해도,,~~!! 울 300만 잡것들에게,,,조금이나마 도움이 됐으묜 헌다~~~!!!  "
1,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,안녕하세요 홈쇼핑 피디입니다! 최보규님 모바일라이브 쇼핑 방송에 섭외해보고 싶은데 연락 닿을 길이 없어서요   혹시나 보신다면 댓글 남겨주시면 감사하겠습니다!
2,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,"안녕하세요! 최보규님 섭외했던 홈쇼핑 피디입니다. 방송 일정을 알려달라는 요청이 많으셔서 이렇게 댓글 남깁니다! 
11월 11일 오전 11시 <명품 특집>
11월 11일 오후 3시 <직매입 의류 특가전>

이렇게 2개 방송에 최보규님이 나오실 예정입니다!
시청방법은 1) Hmall 어플 다운   2) +홈 탭 클릭   3) 쇼핑라이브 배너 클릭  해주시면 됩니다!

기존 TV홈쇼핑과는 달리 유튜브 라이브처럼 실시간 채팅을 통해 진행되는 방송입니다.
시간 괜찮으시다면 시청하시면서 많은 응원 채팅 남겨주시면 감사하겠습니다!!
(팀장님 저 유튜브로 딴짓 안해여.. 일하고 있는거에여..)

* 혹시나 상업적인 댓글로 보이시거나, 워크맨 관리자분이 판단하시기에 이런 홍보성 댓글이 문제가 된다면 바로 삭제하셔도 됩니다! 
(저 워크맨 진짜 팬입니다. 잡것중에 잡것입니다     )"
3,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,여담이지만 서울대 다니는 사람이 서울대를 다닌다고 자랑하고 다니지 않는 이유는 나를 나로 봐주지 않고 서울대라는 배경만 봐서 그럼. 배경이 너무 쌔니까 정작 그 사람은 못 보는 사람들이  너무 많아서
4,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,왜 출연하신분들이 보기 불편하셨다면 이라고 댓글로 사과를 해야하는걸까..    그걸 불편하게 보는 사람들이 머리장식일텐데..
5,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,Lol he is indeed an announcer and he could indeed make a consultant firm.
6,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,"모의면접 5명 안에 들지못한 사전 인터뷰자들은 또 한 번의 불합격이라는 통보를 받았겠네. 
그들에게 위로를. 취준생들 모두 힘내시길."
7,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,서울대 조언해준거 대박이야
8,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,장성규의 웃음은 타고난 게 아니었어... 삶의 수많은 언덕과 산을 넘은 결과물이었어...정말
9,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,I sincerely think JSK can start a consulting firm lol
10,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,그냥 웃긴사람 인줄만 알았는데 저렇게 진지하게 말하는거 보니깐 멋있다
11,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,와 근데    조언들이 그냥 가볍게 하는게 아니라 진짜 진지하게 제대로 하네
12,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,장성규님께서 선을 넘는 캐릭터로 유명한데 컨설팅을 하는 동안 샤프하게 잘 지도해주시는 것 보고 다시금 대단한 분이라는걸 느끼네요
13,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,최보규님은 그냥 바로 투입해도 야무지게 너무 잘할거같은데 92년생 치고 저렇게 똑소리나고 비주얼 우수한 사람 멋지다 생각
14,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,"장성규라는 사람, 보면 볼수록 매력적이시다"
15,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,"웃으며 하는 얘기겠지만 
장성규 님이  저 위치에 가기 까지
얼마나 노력했을까요 존경"
16,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,장성규....역시 그냥 바보같은 사람이 아니라 바보인척 하는 천재였어...     
17,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,쇼호스트 지망하는 분은 되게 좋은거 같은데 좋은 소식 있을거 같아요
18,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,워크맨 출연 경험도 자기소개서에 들어가겠지       
19,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,한번만 더 멋있으면 반해버릴꺼니까 알아서해라진짜
20,궁서체) JOB것들을 위해... 이번만큼은 진지합니다.... ㅣ워크맨 X 사람인,I love Jang Sung Kyu can be hilarious at times but showed his serious and softer side at times today :)
