,title,content
0,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","  워크맨 인력소   

워크맨의 리뷰를 원하는 job것이 있다면 댓글 추천  



 청소.인력.식당.요리.철거.공장.물류 

 그 외 모든 job것들 

 200% 부려먹기 가능  장난사절  



세상의 모든 job것들을 [워크맨]이 직접 리뷰해드립니다!"
1,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",에뛰드 하우스 알바 가자 성규형                     할때까지쓴다
2,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","통계조사일일 알바해주세요~~~~~
장성규 보고싶어요!!! \+.+/"
3,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",왜 인턴선배 귀엽다는 말은 없냐
4,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",소유 손잡을 때 짱 싫어햌   
5,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",그러지 말고 EBS 자이언트 팽수 매니져 한번 해보자                  
6,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","촬영장 온갖 갑질 및 무겁고 딱딱한
똥군기에 가오충들 넘쳐나는 분위기라는
건 어필이 안됐네
  "
7,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",민속촌 알바 해주세욤 이놈 아저씨랑 나 잡아봐라 하시는거 보고싶어요!!
8,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",와 무슨 간식도 챙기냐      매니저가 하는거 아니였어?????    
9,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","방송 현장 스탭들 ""특유 가오 분위기"" 있잖어  
성규형이 함축표현 해줬네 ""방송국 놈들 징하다"""
10,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",얼마 전에 써브웨이 광고 찍으신 기념으로 써브웨이 알바 해주세요
11,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",아니 엔딩때 쓴다면서 뽁 햐나 넣는거너무한데     
12,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","Workman:Have u met a rude celeb?
Part timer: points at him 
Lol   "
13,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",                     과자이름으로 드립치는거보솤                      
14,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",와 그동안 그러려니 했는데 저쪽은 진짜 일하기싫다                  
15,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19","장성규: 아 카메라 있는걸 깜박했어
편집자:우리도 편집하는걸 깜박했어
???:   우리도 눈을 가리는걸 깜박했어"
16,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",마지막에 성규형 약간 빡친듯 대우가 너무그래서...
17,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",용인 민속촌 갑시다        캐릭터 알바 하면 꿀잼일듯
18,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",7:59 손 터는거 보니 진짜 싫은가봐요       
19,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",룰라 고영욱에서 짜르는거봐랔        
20,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",경기도교육청 오시면 유초중고특수 하루에 다 체험 가능합니다   일일선생님
21,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",이때까지 본 워크맨 중에 제일 스트레스 받는 영상이엇음....아니 저    똥군기 뭐냐고;;;;;;;;장성규씨   넘  고생이 많았아요   
22,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",여자 선배 귀엽네     볼매다 드립미쳣네 선넘규      김구라            
23,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",술집알바 갑자기 사라져서 이거라도 한 번 더 보는 사람??
24,"기어코 선 넘어버린 장성규...?! 아이돌 데뷔 각까지 잡는 덕후들의 성지 음악방송 조연출 리뷰 (feat. NCT DREAM, CIX, 규현, 소유)ㅣ워크맨 ep.19",먹고싶은게 아니라 드립칠 이름의 과자를 사는 당신은 교과서...              
