,title,content
0,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,"JOB것들아~~~  인력소장이다,,,,~~~  

워크맨이,,,첨으루,,~~뱅기를 타보나,,,했는디~일만하고왔지 머여~~~ 

대가리는~~!!! 포상휴가~~보내달라~~!!보내달라~,,!!!"
1,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,와.. 청소아주머니.. 나같으면 그냥 패스할거를 손님을 속이는 거라고.. 완벽하게 일하시네.. 멋있으시다
2,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,The guy who is not close to his wife is hilarious...    
3,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,사소한 얼룩도 놓치지 않는 청소아주머니의 모습이 최근 중극 특급호텔의 비위생적인 청소 모습과 대비되어 신뢰가 갑니다. 위생을 위해 뒤에서 묵묵히 노력하시는 청소아주머니에게 감사합니다.
4,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,점심 같이 먹는 여직원 진짜 사람이 좋아보인다
5,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,여자선배 너무 귀엽다 순진무구한 얼굴 순둥순둥     
6,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,개인적으로 방청객알바를 추천함               이거 일당은 좀 약한데 보는재미로 가는거임       
7,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,2:08 실례지만 두분중에 누가 대가리세요랰       존나 예의바른데 존나 무례햌           
8,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,손님들 일반인 아니고 섭외하는 거 아닌가 의심스러울 정도로 다들 겁나 웃김   
9,잠시 쉬다오겠습니다... 포상휴가인 줄 알고 떠났다가 저세상 서비스하고 온 5성급 호텔리어 리뷰ㅣ워크맨 ep.26,해병대 나올 때마다 사기치는 거 넘 웃곀                    
